ID,Answer
0,白色羽毛
1,《臺灣府志
2,袁晁
3,天津武備學堂
4,
5,聶耳
6,1884年
7,西漢的版圖向西擴張
8,英國
9,醜化對手的作用
10,二十世紀福斯向周星馳買下《食神》版權，欲邀其重拍美國版《食神》，但最終被周星馳拒絕。2001年，周星馳
11,三中老
12,無障礙環境
13,anticipation，即預測
14,2004年
15,硫化氫
16,華萊士
17,
18,亞非
19,80公里
20,愛爾蘭語
21,荷蘭
22,硫化物
23,塞爾維亞反對黨
24,1910年代
25,外交手段
26,拉丁文
27,猶太基督徒
28,1964年
29,霍克菲爾德
30,文化大革命
31,《羅馬十二帝王傳》
32,灣仔
33,西沙群島
34,形容一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,小白宮
38,77份
39,南人
40,宋端宗
41,四千名
42,46億年
43,1070年
44,社會保障法規
45,第一教學樓
46,1930年
47,航天技術
48,1932年
49,大型購物中心[UNK]開幕後，改變了九龍灣作為工廠、物流倉庫的印象。[UNK]商場高18層，佔地達110萬平方呎，是觀塘區最大型的購物商場，當中的大型商戶有宜家傢俬、[UNK]、[UNK]影院等。區內的寫字樓自2006年起不斷增建，包括企業廣場三期、國際交易中心、[UNK][UNK]、傲騰廣場及億京中心等，成為東九龍新商業中心
50,
51,自強學堂
52,1960年代
53,法西斯義大利希望向南斯拉夫擴張領土
54,紐約市
55,基督教
56,預覽阿爾法版本
57,100萬
58,新北市
59,佔領行動
60,路易十五
61,中國共產黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,意圖完全擺脫漢朝的控制
66,李宗仁
67,宋代
68,前三點起落架
69,二十二歲
70,亞洲
71,1996年
72,美國
73,氦
74,經過依納爵長久的薰陶
75,住宅地
76,大韓生命保險公司大樓
77,八角鼓
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1959年
82,知覺
83,科龍港
84,玫瑰盃[UNK]
85,科學知識及技術
86,
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,三吳地區
92,英國
93,農業合作社
94,國立武昌高等師範學校
95,蘇利南
96,1934年
97,檸檬酸咖啡因療法
98,1913年
99,1949年
100,大象
101,1915年
102,1763年
103,有絲分裂和無絲分裂
104,美國
105,羅馬帝國
106,朝鮮仁祖
107,十個
108,佛學論書
109,臺中高農
110,布倫瑞克
111,三天
112,1944年
113,安娜·德·薩伏伊皇后
114,咸豐帝
115,哈林河
116,
117,指揮
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,全國人民代表大會的決定和全國人民代表大會常務委員會
122,德國
123,雷家驥
124,8歲的陽原王登基
125,複雜及未標準化
126,二千九百公尺
127,1939年
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國。故此，他決定於西線調派多一些兵力到東線上應付俄軍，此決定令德軍於西線的進攻上遇到更多困難。為迅速取得西線勝利
129,林家
130,商營鐵路，但由於它是用來運貨
131,公民權
132,西人黨
133,2015年
134,臺北
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,20
139,1941年
140,多腔磁控管雷達技術
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,吉米卡特
146,吳有性
147,《布告各省公啟》
148,阿拉里克
149,十月革命
150,潛在腔隙
151,工業國家
152,1949年
153,《最終解決德國問題條約》
154,清光緒十七年
155,雕像
156,防止中國共產黨滲透，展開長期的戒嚴
157,65000平方公里
158,乙醚
159,藥葛羅
160,卡爾梅克人
161,1980年2月24日
162,63位
163,法律學家
164,古希臘時代
165,盧安達語
166,填海造地
167,憲法
168,
169,網景通訊公司
170,9月4日
171,1999年
172,《天淨沙》
173,七十年代
174,公元68年
175,趙佗
176,莎草紙
177,香港天文台也是世界氣象組織
178,以普魯士大獲全勝，建立德意志帝國告終
179,公元前362年
180,創建強力政府
181,28歲
182,1949年
183,保加利亞
184,便利使用、容易控制、安全潔淨
185,約10度
186,日本社會黨
187,西歐
188,波士頓
189,1992年
190,反手擊球
191,後箱館裁判所
192,明朝
193,1498年
194,2000年
195,2012年
196,考古發現在約西元前8200年前的中國湖南。在1993年，考古隊在道縣玉蟾岩
197,英、德
198,森林
199,阿森納女子足球俱樂部
200,社會主義市場經濟
201,特式食肆
202,1920年
203,中華人民共和國
204,
205,在列車前面拉動
206,彌爾
207,美國中央情報局
208,艾瑪·史東
209,連續函式的訊號
210,興建皇龍寺的九層寶塔
211,克羅埃西亞農民黨
212,柏林國際影展是一個在德國柏林舉行的影展，該影展與義大利的威尼斯影展、法國的坎城影展
213,清涼
214,新北市
215,聯盟
216,甲午戰爭
217,克孜勒
218,七千人大會
219,好在歷史是人民寫的
220,美觀
221,臺中市精密機械科技創新園區
222,西部地區
223,1982年
224,宣宗末年
225,部落最高領袖或皇帝
226,塔特拉山
227,國立廣東大學
228,美國發明家
229,2006年
230,沒有
231,《人體器官移植條例》
232,1262年
233,熱蘭遮城」，以此作為統治中心，為增加米、糖等農作物產量
234,三倍
235,兩顆恆星在相對較近的軌道上時，其間的重力作用
236,颱風
237,2014年
238,1970年
239,韓國
240,第一所美式大學
241,鋁土礦
242,
243,鄒族
244,黑死病
245,2012年
246,赫爾伯特·查普曼
247,同性戀文化最初發展於羅馬共和國時期，但受到社會普遍的譴責
248,2009年
249,洛杉磯湖人
250,溥[UNK]
251,副主席
252,其中一方贏得6局卻未領先至少2局
253,廣東省政府委員會
254,韓國遊戲
255,1951年
256,漢語拼音方案
257,1984年
258,高架車站
259,下薩克森邦
260,法蘭西第二帝國
261,福建人
262,全勝
263,提高一般飛行員的命中率
264,低倍率望遠鏡
265,濃度低
266,袁世凱
267,明朝
268,1848年
269,2010年
270,1998年
271,
272,《南華早報
273,酸性
274,佛像
275,阿聯
276,灣仔發展計劃
277,坦克集團軍
278,田川氏
279,
280,自律心肌細胞
281,1975-1985年
282,德語地區
283,
284,1237年
285,東羅馬
286,晉恭帝
287,荷蘭
288,中國抗日戰爭為背景。雖然這部影片並不是史都華
289,1656年
290,清末
291,廣開土大王
292,胡安·林茲
293,日本
294,1998年1月1日
295,第二星族
296,司馬休之
297,細胞膜
298,383年
299,迪尼奧
300,慕容垂
301,火山活動
302,利奧三世
303,拉丁字母
304,德國
305,丁基羥基甲苯
306,中緬大戰
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,南極以外國家
314,1083
315,曹魏故都智慧之旅
316,威廉港的貨櫃碼頭亞德港
317,布爾什維克革命
318,金本位制
319,邊沁
320,紅色的視錐細胞
321,1928年
322,商品期貨
323,十多個
324,300美元
325,楊宇霆
326,大力發展體育事業
327,元世祖
328,油電混合動力車
329,數學
330,亞熱帶季風氣候
331,經濟
332,長度為輔音
333,朱一貴
334,
335,失一分
336,銃炮
337,1960年
338,1980年代
339,行政機構
340,東漢接受高句麗的朝貢。高句麗人在其成立的初期是由[UNK][UNK]人和夫餘人組成的。據《三國志》記載，[UNK]的「言語法俗大抵與句麗同」。《三國史記》説高句麗
341,1980年
342,希伯來文
343,第四心音
344,2010年
345,武漢
346,1868年
347,托土拉島
348,中華民國
349,倫敦大學
350,1970年代中期
351,高峰岡仁波齊峰
352,1972年5月，周恩來被查明罹患膀胱癌，其仍然帶病工作，1973年2月，出現大量尿血的情況，這時血塊堵住尿道口，使每次小便都是一場痛苦的掙扎。中共八大上，周恩來當選為中共中央副主席。同年，毛澤東以外交工作出現修正主義傾向名義，發動對周恩來批判，組成「中央幫助總理認識錯誤小組」。1973年
353,烏孜別克人
354,三菱重工業長崎造船廠
355,南斯拉夫社會主義聯邦共和國
356,證券交易所
357,硫礦
358,與丹尼索瓦人混血的相似性
359,忽必烈
360,中國
361,2000年
362,蝸牛狀
363,奧地利
364,1955年
365,
366,約斯特范大克島
367,1956年
368,斯圖加特
369,1910年
370,突厥
371,
372,1958年
373,2011年
374,通過非暴力方式反對環境破壞行為
375,巴爾的摩市
376,中華民國政府
377,社團部
378,違反了一次，導致摩根神父威脅如果再犯就中斷他的大學生涯
379,電子郵件
380,孔子
381,上海國歌紀念廣場及國歌展示館
382,2005年
383,強調不存在強迫或者盜取死刑犯器官的問題
384,
385,1970年
386,雙循環泵功能
387,1809年
388,
389,民國36年
390,為迅速取得西線勝利
391,大量從東歐和波羅的海沿岸的前德國疆土被驅逐的難民在下薩克森邦落腳定居，這也為這個邦帶來了文化多樣性
392,伯克制
393,擺脫螺旋槳在接近音速時的上限
394,自然法
395,路易·巴斯德
396,中部科學園區
397,宣統三年九月十九日
398,1991年
399,高麗官修正史《三國史記
400,第二次工業革命
401,突厥語
402,拉海納則是島上的主要商業中心，市區有一條滿布商店和餐廳的大街直通碼頭
403,約翰·坎貝爾
404,8小時
405,樂壇女王
406,民國18年
407,國立廣東大學
408,亞伯拉罕諸教
409,六億七千多萬美金
410,妖怪學
411,專家
412,低地蘇格蘭語
413,
414,解決國際動物學界面臨的學名混亂問題
415,外國語
416,皇太極
417,信陽
418,
419,准將
420,太陽風
421,科技
422,媽祖
423,鮑德溫伯爵
424,計劃委員會
425,約15米
426,蘇丹
427,軍事監察官
428,約八公分
429,2005年9月，盧武鉉政府正式向美國提出收回戰時指揮權。之後，雙方達成協議美方將於2012年4月17日
430,
431,
432,辛酉政變
433,銅
434,統一企業
435,2456293.520833
436,慢病毒載體
437,陳誠
438,孫中山
439,單獨媾和
440,進出口貿易
441,九一八事變
442,1978年
443,恩琴
444,731美元
445,阿拉巴馬州
446,嘉義市
447,對保護農業生產
448,氣流機制
449,五角星
450,波斯薩珊王朝
451,航海工業和航海貿易中心
452,化學基地
453,使用超大容量電容取代電池作儲電裝置，不用更換。現代戰場上的高科技裝備用電量龐大，混合動力軍用車輛可以滿足其需求；對後勤系統來說，轉換為混合動力軍用車輛很好適應、又可以降低負擔
454,中國共產黨中央政治局常務委員會
455,1945年
456,一條簡單的直線
457,北京路
458,盟旗制
459,臺南州
460,布朗茜
461,大陸內陸區或背風的山區
462,一次大戰期間
463,決勝局
464,
465,保守派
466,昇陽電腦公司
467,《全唐詩
468,1912年
469,1982年
470,七年
471,奧地利
472,貝爾實驗室的威廉·肖克利、約翰·巴丁和沃爾特·布喇頓工作團隊
473,陳奕迅
474,吳三連
475,1917年
476,孔祥熙
477,1月8日
478,掃雷艇部隊
479,海都之亂
480,多黨制
481,民國9年
482,1976年到1988年
483,這個時期
484,東晉時期
485,利用電腦配合對飛行狀態的監視，能夠防止飛機失去控制，或者是讓飛機在接近失去控制的狀態下仍然足以保持能夠穩定飛行。此外，線傳飛控
486,光明星4號
487,烏孜別克人
488,2555公里
489,第一次國共內戰
490,118年
491,茲維亞德·加姆薩胡爾季阿
492,避免造成路口交通不暢
493,防空專用的火炮
494,荀子
495,清朝
496,1935年
497,雙北合辦就業博覽會
498,
499,中國政法大學
500,瓜拿納
501,二戰時期
502,水冰
503,江戶時代
504,民國4年
505,西格里
506,1972年
507,軍政
508,貝爾根
509,青蓮居士
510,惠帝
511,十億韓國」戰略
512,
513,小選舉區制
514,受聯合國
515,反對資產階級自由化
516,自由放任
517,綠色工業
518,2006年
519,段祺瑞
520,湯瑪斯伊格頓
521,中南部
522,1902年
523,蝸頂
524,向海的方向則有戰後1950年代至1960年代
525,非美元貨幣
526,專門的操作人員
527,2002年
528,氫硫酸
529,軍事冒險主義
530,使編輯長頁面更容易
531,黨費
532,沒有兩性的分化，在同一個生物體中可能同時有雄性及雌性的生殖器官
533,經濟建設
534,《實業部組織法》
535,港式酒樓
536,社會政治運
537,帕吉勒提河
538,西南美麗的地方
539,天」的至高無上
540,
541,2012年
542,香港
543,1955年
544,運輸局
545,前一世紀
546,柵欄
547,1898年
548,老虎
549,查爾斯
550,唐太宗
551,健康寫實電影
552,1956年7月
553,老人星
554,中生代
555,伊爾庫茨克國立大學
556,鐵木真
557,9347人
558,1789年
559,兩個
560,松陽縣
561,日占時期
562,藝聲
563,中華人民共和國
564,總兵官
565,《金驢記》
566,高速線哈大客運專線
567,
568,自然科學研究
569,反文化運動
570,英國
571,賀知章
572,轟炸機
573,都卜勒效應
574,義大利
575,中世紀的漢撒同盟時代
576,淋巴液
577,州是僑寓州
578,18
579,
580,自由派
581,澎湖列島
582,陶瓷
583,1980年代
584,法國
585,西佛羅里達
586,1918年所蓋的伊爾庫茨克國立大學則是東西伯利亞的第一所高等教育機構，主要教學科目為醫療、教育與金融。伊爾庫茨克州長期都有著自身的精神象徵，不過到了1997年
587,驛站
588,9年
589,玫瑰盃[UNK]
590,1941年2月1日
591,101公里
592,國務院常務會議
593,木衛三
594,喬治亞共和國
595,1943年
596,加強納戈爾諾-卡拉巴赫自治權的蘇維埃提案，隨後一場全面性
597,足式臀位
598,屬聯邦政府之權力
599,韓國
600,感染
601,土耳其人
602,瀕危物種
603,越戰
604,公民權
605,可再生能源發電
606,極端大陸性氣候
607,臺灣省臺北市
608,1929年
609,法國電信
610,霍布斯
611,1897年
612,農業的發展
613,華北財經辦事處
614,市場分析
615,上海南站
616,2005年
617,家庭喜劇片
618,反對同性婚姻者
619,
620,反對建文帝削藩
621,建築學院
622,朱熹
623,社會民主黨，9位來自自由民主黨，7位來自綠黨，6位來自左派黨。歐洲議會中包括10名來自下薩克森邦的議員：5名來自基民盟，2名來自社會民主黨，分別有1名來自自由民主黨
624,傳播色情
625,植物
626,哈牡客運專線
627,第五區
628,最古老的活躍軍事單位
629,1984年
630,漢武帝
631,關東地方是韓國東部大關嶺
632,譴責外蒙古企圖分裂中華民國
633,巴黎聖母院
634,衝擊朝鮮半島
635,東晉常[UNK]
636,1936年
637,預言
638,商用
639,五桂山
640,日本竹[UNK]魚
641,嘉義市
642,高度污染產業
643,29個
644,民國31年
645,10月23日
646,人傳》
647,漢字詞
648,第二次世界大戰
649,5000噸級
650,君士坦丁堡
651,2015年年底前
652,古漢語
653,22年
654,伊薩克
655,霍諾里烏斯
656,喜馬拉雅山脈
657,1937年
658,1964年
659,19世紀
660,油氣開發
661,軌道
662,明孝宗
663,喀喇汗國
664,第五區
665,1925年
666,照射紫外線
667,九一八事變
668,春秋
669,對大自然的崇拜
670,馬祖
671,1899年
672,牟定縣
673,尼布楚條約
674,中央窩
675,利奧三世
676,殖民主義
677,奧德
678,30米
679,低緯度熱帶地區，南北緯約10度
680,企業管理制度
681,約翰遜
682,赤城鎮政府街1號
683,內層的漿膜心包和外層的纖維心包
684,羅非魚
685,潘普洛納
686,法國阿爾卑斯山礦泉
687,1848年
688,《臺灣府志
689,杜林
690,第265任
691,6比6
692,民國41年
693,中央印製廠
694,法國
695,超新星
696,全斗煥
697,2007年
698,
699,索馬利亞政府司法系統
700,420年
701,軍隊編制問題
702,劉銘傳
703,
704,1980年代
705,何韻詩
706,1925年
707,印度河流域文明
708,2009年
709,湘西土家族苗族自治州
710,許貢
711,少
712,北魏孝文帝
713,李定國
714,22條
715,公共健康與醫學領域
716,《新基本法令》
717,1962年
718,洪武三十一年
719,人民民主專政革命政權
720,俄羅斯帝國
721,突厥汗國
722,白矮星
723,咖啡因中毒包括上癮和一系列的身體與心理的不良反應，比如神經過敏，易怒，焦慮，震顫，肌肉抽搐等等。另外，由於咖啡因
724,司馬元顯下令討伐荊州刺史桓玄，並以劉牢之為前鋒。桓玄率軍兵臨建康時，劉裕請求進攻，但劉牢之不肯，反而想叛歸桓玄。劉裕當時與何無忌
725,階梯狀
726,漳州人
727,6個小時
728,1866年
729,憲法
730,毛澤東
731,90年代
732,強盛大國元年」的2012年時，金正恩正好30歲，蘇聯政府亦認定金正恩為1982年出生。2012年將迎來金日成誕辰100周年。而金正日原本是1941年在蘇聯
733,2200
734,愛德華·懷克-史密斯
735,西班牙瓦倫西亞
736,1787年
737,元昭宗
738,奪取荊州
739,1898年
740,守舊派
741,古巴
742,端敬王后
743,中生代
744,約瑟夫史達林
745,台灣
746,修改國會選區
747,計劃生育
748,蘇聯
749,中華人民共和國主席
750,福建社團聯會
751,恆星
752,加強土壤的養份。據台灣農業改良會研究，在排水良好的稻田中，就地掩埋稻草，能對第一期作水稻增產10％
753,推行反共政策
754,2.7％
755,日本
756,分子雲
757,遊牧部落
758,鮑德溫伯爵
759,1918年
760,1939年
761,東三省巡閱使署衛隊旅第二團團長
762,巴黎條約
763,1970年
764,威斯康辛大學麥迪遜分校
765,與氫氧化鈉一同儲存可以加速其過氧化過程
766,樣磨汗
767,奢侈品和金銀製品工藝
768,資格賽賽制
769,周劭綱
770,2000年
771,15世紀
772,兄終弟及
773,蘇聯
774,馬略
775,至元十三年
776,磷化氫
777,1970年代
778,圖西族
779,紀念說
780,
781,《三國史記
782,地心說
783,長沙太守
784,
785,2004年
786,上海
787,德國
788,濃硫酸
789,畢達哥拉斯主義
790,兄弟國的盟約
791,2010年
792,硫礦
793,1979年
794,義大利
795,農業
796,車里雅賓斯克
797,宋理宗
798,西班牙
799,
800,共和黨
801,百濟
802,二戰的爆發
803,1976年
804,港澳台灣
805,1949年
806,麻省理工學院
807,純銅
808,1920年代
809,部隊局
810,1449年
811,1986年
812,隆武帝
813,第一次世界大戰
814,孫叔敖
815,《斯納格的奇妙大陸》
816,雙汗制
817,78歲
818,半軍事管制
819,原中華全國體育協進會
820,光度的變化，像是食雙星，還有極端的情形是由恆星自轉
821,人文關懷
822,1956年
823,《產假和保護婦女兒童權利法》
824,軍閥混戰
825,中國共產黨解放軍
826,韓國
827,人民頻繁的遷移
828,四世紀
829,對境外落地的信號實施地面頻道干擾
830,保證共和派控制國民議會，阻止保王派復辟，但造成政府的長期不穩定
831,匈牙利
832,1979年
833,隋朝
834,蘇區
835,捷運機場線等國際工程實施
836,太陽
837,1940年
838,妖怪學
839,
840,收養資格的評估
841,汾河
842,關漢卿
843,湯玉麟
844,陳平順
845,蟹狀星雲
846,厄德
847,整個站體都位於天橋上的車站
848,1955年
849,蒙古入聯合國
850,金石並用時代
851,天皇
852,蘇聯
853,蘇維埃當局
854,2012年3月，瀋陽開工建設路面電車，2013年
855,羅馬帝國
856,重力
857,猶太人
858,生物演化發生
859,1988年
860,韓國
861,王孝通
862,哈比亞利馬納
863,法文老師
864,玻里尼西亞
865,廉興
866,基因特質
867,主峰岡仁波齊藏語
868,焦爾達諾·布魯諾
869,乾隆
870,約八公分
871,過渡期
872,民國43年
873,
874,中國教育
875,咖啡因
876,君士坦提烏斯
877,2000年6月
878,一日生活圈
879,美西戰爭
880,尊漢思想
881,蒂羅爾
882,眾神之王宙斯的戀人之一：埃歐，祂是希拉的女祭司
883,供應服務過多，常導致店員時常忙碌且需學習極多職場技能
884,1910年革命
885,洛邑
886,人生觀念
887,宋文帝
888,憲政改革
889,英國
890,斯塔福德郡
891,義熙十四年
892,劉少奇
893,1922年
894,
895,作為天候變異、災禍預知、社會秩序以及超自然現象的合理化解釋
896,檢查站
897,冷戰時期
898,1949到1961年是社會主義制度的確立時期；1961年到1970年柏林圍牆的修建減少了逃亡行為，東德經歷了一段穩定的時期；1971到1985年
899,氫燃料，質量大於0.4太陽質量
900,顯微注射
901,馬可波羅
902,阿爾巴尼亞
903,上海鐵路局
904,中國人民銀行
905,《倫敦條約》
906,聖經
907,使用精子庫
908,燃燒燃料
909,加拿大軍隊
910,26億
911,1950年代
912,希臘語
913,性犯罪
914,文藝復興式
915,楚州
916,1590年
917,1985到1989年
918,博特羅普
919,柏林國際廣播電台
920,星系
921,1584年
922,使郵驛通信十分有效地發揮效能
923,媒體維基
924,人文
925,1949年
926,67個
927,10月13日
928,1884年
929,波蘭
930,黑河
931,私立大學
932,漢諾瓦的技術信息圖書館
933,則為早期韓國華僑的聚集所在
934,李雄
935,香港
936,
937,英語
938,[UNK]稻
939,宋真宗
940,4500
941,政府機關
942,9月
943,其副汗或小汗多帶有伊利的的稱號
944,唐德剛
945,路易十四
946,韓國
947,0.07個
948,福建人
949,民國28年
950,中華民國國民革命軍第五軍200師
951,公共汽車
952,核質
953,石排灣
954,正教
955,八角鼓
956,迦太基式的和平
957,四牌樓紀念基金
958,1642年
959,徐載弼
960,蒙哥
961,匈奴人
962,芝加哥大學
963,船業
964,收放式起落架
965,紐格威森林
966,2012年
967,拿破崙
968,戴克里先
969,97年
970,陰陽調和
971,市場經濟
972,1963年
973,教宗亞歷山大六世
974,1871年
975,天安門廣場集會悼念周恩來，聲討「四人幫」，稱為「四·五天安門事件」。但毛澤東通過毛遠新傳話，將此事件定性為「反革命事件」，直接導致鄧小平第三次下台。毛澤東逝世及四人幫被粉碎後，此事件被視為反抗四人幫倒行逆施的革命行動
976,20世紀60年代
977,1958年底
978,一些國家採胡漢分治的制度
979,
980,杜甫
981,漢文
982,12次
983,科學社會學
984,1138公頃
985,《中華人民共和國村民委員會組織法》
986,荷蘭
987,聯合國專家
988,奪得影帝最佳男主角寶座
989,內陸地區
990,印度教-穆斯林團結大使
991,白[UNK]紀滅絕事件
992,毒品
993,達爾文的理論不僅使得上帝創造萬物
994,1258年
995,元朝
996,1929年
997,1972年
998,新式鐵製蒸汽船
999,文森特
1000,反環境保護主義
1001,詹姆士·麥迪遜
1002,1946年
1003,蘇聯紅軍
1004,基本食物
1005,1987年
1006,甘迺迪政府學院
1007,矮星
1008,修道主義
1009,1999年
1010,亞歷山大漢密爾頓
1011,中國
1012,1989年
1013,國務委員會委員長
1014,紐約尼克
1015,裝飾
1016,東、西、南、北四校區
1017,100萬到1兆倍
1018,雷達
1019,匈奴
1020,9月10日
1021,五等爵制
1022,工程化核酸酶
1023,伊薩克二世
1024,馬克西米安
1025,外部刺激
